metrica;valor
clientes_com_nps;398
clientes_com_nps_e_mecanismo;248
clientes_com_nps_sem_mecanismo;150
nps_indice_com_mecanismo;58.5
nps_indice_sem_mecanismo;48.7
nota_media_com_mecanismo;8.6
nota_media_sem_mecanismo;8.4
csat_medio_agregado;4.9
clientes_com_csat_no_universo;69
taxa_renovacao_pct;21.2
cobertura_mecanismo_entre_nps_pct;62.3
mecanismos_distintos;13
generated_at;2026-09-23T01:53:21.130Z
calculation_version;v2.2026-03-22-ims-nps-pipeline-fix
filter_status;active
filter_program;all
sample_min_ranking;30
