cutoff_id;era_start;N;renewed;not_renewed;with_mechanism;without_mechanism;renewal_rate_pct;excluded_before_era;excluded_exposure;excluded_open;roc_auc;pr_auc;brier
ample;2025-06-01;1438;137;1301;190;1248;9.5;54;433;1487;0.8729;0.6461;0.0454
intermediate;2026-01-01;1064;137;927;187;877;12.9;389;472;1487;0.8633;0.6573;0.0622
conservative;2026-08-01;316;185;131;193;123;58.5;1453;156;1487;0.7698;0.7811;0.2019

month;clients_first_impl;total_impl;active_approx;cumulative_clients;exposure_pct
2025-01;9;9;452;9;2
2025-02;1;1;518;10;1.9
2025-03;4;4;735;14;1.9
2025-06;39;44;1113;53;4.8
2025-07;11;14;1225;64;5.2
2025-09;1;1;1425;65;4.6
2025-10;21;36;1612;86;5.3
2025-11;9;24;1728;95;5.5
2025-12;42;83;1764;137;7.8
2026-01;141;262;1789;278;15.5
2026-02;8;15;2526;286;11.3
2026-03;31;45;2584;312;12.1
2026-04;62;146;2724;379;13.9
2026-05;66;180;1926;445;23.1
2026-06;0;1;2023;445;22
2026-07;53;154;1993;498;25
2026-08;330;831;2042;828;40.5
2026-09;36;83;1999;864;43.2
