segment;respondents;promoters;passives;detractors;promoter_pct;passive_pct;detractor_pct;nps;nps_difference;small_sample_nps;mechanism_column;comparison;nps_without_mechanism
sem_mecanismo;174;112;35;27;64.4;20.1;15.5;48.9;;False;;;
com_mecanismo;253;177;47;29;70.0;18.6;11.5;58.5;;False;;;
alabama;2;2;0;0;100.0;0.0;0.0;100.0;45.6;True;implemented_alabama;with_mechanism;54.4
arcadia;31;18;9;4;58.1;29.0;12.9;45.2;-10.1;False;implemented_arcadia;with_mechanism;55.3
arkansas;0;0;0;0;;;;;;True;implemented_arkansas;with_mechanism;54.6
armada;0;0;0;0;;;;;;True;implemented_armada;with_mechanism;54.6
autoconstrucao;148;109;26;13;73.6;17.6;8.8;64.9;15.8;False;implemented_autoconstrucao;with_mechanism;49.1
credito verde;14;9;2;3;64.3;14.3;21.4;42.9;-12.1;True;implemented_credito_verde;with_mechanism;55.0
escala imobiliaria;25;19;3;3;76.0;12.0;12.0;64.0;10.0;True;implemented_escala_imobiliaria;with_mechanism;54.0
fundo de investimento qvra11;99;76;16;7;76.8;16.2;7.1;69.7;19.7;False;implemented_fundo_de_investimento_qvra11;with_mechanism;50.0
incorporacao financiada atlas;4;3;0;1;75.0;0.0;25.0;50.0;-4.6;True;implemented_incorporacao_financiada_atlas;with_mechanism;54.6
leilao circular aspen;1;0;0;1;0.0;0.0;100.0;-100.0;-154.9;True;implemented_leilao_circular_aspen;with_mechanism;54.9
leilao serial flipping de leilao;141;101;27;13;71.6;19.1;9.2;62.4;11.7;False;implemented_leilao_serial_flipping_de_leilao;with_mechanism;50.7
liquidez antifragil;0;0;0;0;;;;;;True;implemented_liquidez_antifragil;with_mechanism;54.6
operacoes;0;0;0;0;;;;;;True;implemented_operacoes;with_mechanism;54.6
renda fixa escalonada;84;62;11;11;73.8;13.1;13.1;60.7;7.6;False;implemented_renda_fixa_escalonada;with_mechanism;53.1
renda sintetica;20;15;1;4;75.0;5.0;20.0;55.0;0.5;True;implemented_renda_sintetica;with_mechanism;54.5
retropatrimonio;3;3;0;0;100.0;0.0;0.0;100.0;45.8;True;implemented_retropatrimonio;with_mechanism;54.2
shortstay;0;0;0;0;;;;;;True;implemented_shortstay;with_mechanism;54.6
trava de inflacao;49;38;6;5;77.6;12.2;10.2;67.3;14.4;False;implemented_trava_de_inflacao;with_mechanism;52.9
usinas escalonaveis ampar;10;7;2;1;70.0;20.0;10.0;60.0;5.6;True;implemented_usinas_escalonaveis_ampar;with_mechanism;54.4
