Página do dashboard,Cartão / gráfico,Tipo,Itens considerados,Itens descartados,% considerados,Regra / critério de inclusão,Campos ausentes / causa do descarte,Fonte,Status da mensuração,Dash Kids,Reumo Executivo,Observações
Dados Gerais,Cancelados confirmados,Cartão,3415,0,"100,00%",Cliente distinto presente em clients após exclusões operacionais.,Nenhum para a contagem da carteira.,public.clients.id,Calculável,Sim,,
Dados Gerais,Cancelados sem data confirmada,Cartão,3415,0,"100,00%",Cliente distinto presente em clients após exclusões operacionais.,Nenhum para a contagem da carteira.,public.clients.id,Calculável,Sim,,
Dados Gerais,Clientes ativos,Cartão,3415,0,"100,00%",Cliente distinto presente em clients após exclusões operacionais.,Nenhum para a contagem da carteira.,public.clients.id,Calculável,Sim,,
Dados Gerais,Clientes com diagnóstico financeiro,Cartão,3039,376,"89,00%",Cliente com ao menos um registro financeiro relacionado.,Registro em client_financial_data e vínculo client_financial_data.client_id → clients.id.,public.client_financial_data.client_id,Calculável,Sim,,
Dados Gerais,Clientes congelados,Cartão,3415,0,"100,00%",Cliente distinto presente em clients após exclusões operacionais.,Nenhum para a contagem da carteira.,public.clients.id,Calculável,Sim,,
Dados Gerais,Clientes não ativos,Cartão,3415,0,"100,00%",Cliente distinto presente em clients após exclusões operacionais.,Nenhum para a contagem da carteira.,public.clients.id,Calculável,Sim,,
Dados Gerais,Permanência média,Cartão,2593,822,"75,90%",Permanência com início e fim cronologicamente válidos; UI exibe mediana.,"817 sem data válida de cancelamento e 5 com datas inconsistentes. Campos: clients.data_inicio_ciclo (fallback created_at), cancellations.churn_efetivado_at, distrato_assinado_at ou clients.data_churn.",public.clients + public.cancellations,Calculável,Sim,,O nome da UI diz média; o valor principal é mediana.
Dados Gerais,Renda mensal média,Cartão,3011,404,"88,20%",Mediana dos valores numéricos válidos.,client_financial_data.ultima_renda_mensal ausente/inválido ou diagnóstico financeiro inexistente.,public.client_financial_data.ultima_renda_mensal,Calculável,Sim,,
Dados Gerais,Reserva de liquidez média,Cartão,2823,592,"82,70%",Mediana dos valores numéricos válidos.,client_financial_data.reserva_liquidez ausente/inválido ou diagnóstico financeiro inexistente.,public.client_financial_data.reserva_liquidez,Calculável,Sim,,
Dados Gerais,Total de clientes,Cartão,3415,0,"100,00%",Cliente distinto presente em clients após exclusões operacionais.,Nenhum para a contagem da carteira.,public.clients.id,Calculável,Sim,,
Dados Gerais,Último aporte médio,Cartão,2749,666,"80,50%",Mediana dos valores numéricos válidos.,client_financial_data.ultimo_aporte ausente/inválido ou diagnóstico financeiro inexistente.,public.client_financial_data.ultimo_aporte,Calculável,Sim,,
Dados Gerais,Clientes por segmento,Gráfico,3021,394,"88,50%",Distribuição dos clientes com campo válido.,"ultima_renda_mensal, reserva_liquidez, último aporte e dívidas","ultima_renda_mensal, reserva_liquidez, último aporte e dívidas",Calculável,Sim,,
Dados Gerais,Clientes por status,Gráfico,3415,0,"100,00%",Distribuição dos clientes com campo válido.,clients.status + cancellations,clients.status + cancellations,Calculável,Sim,,
Dados Gerais,Distribuição da renda mensal,Gráfico,3011,404,"88,20%",Distribuição dos clientes com campo válido.,client_financial_data.ultima_renda_mensal,client_financial_data.ultima_renda_mensal,Calculável,Sim,,
Dados Gerais,Distribuição da reserva de liquidez,Gráfico,2823,592,"82,70%",Distribuição dos clientes com campo válido.,client_financial_data.reserva_liquidez,client_financial_data.reserva_liquidez,Calculável,Sim,,
Dados Gerais,Engenheiro Patrimonial,Gráfico,3214,201,"94,10%",Distribuição dos clientes com campo válido.,clients.engenheiro_patrimonial,clients.engenheiro_patrimonial,Calculável,Sim,,
Dados Gerais,Evolução mensal da aquisição de clientes,Gráfico,3415,0,"100,00%",Distribuição dos clientes com campo válido.,vw_info_cliente.data_assinatura_contrato; fallback data_inicio_ciclo/created_at,vw_info_cliente.data_assinatura_contrato; fallback data_inicio_ciclo/created_at,Calculável,Sim,,
Dados Gerais,Perfil Financeiro,Gráfico,3039,376,"89,00%",Distribuição dos clientes com campo válido.,client_financial_data e flags possui_*,client_financial_data e flags possui_*,Calculável,Sim,,
Dados Gerais,Tempo de permanência,Gráfico,2593,822,"75,90%",Distribuição dos clientes com campo válido.,datas de início/cancelamento,datas de início/cancelamento,Calculável,Sim,,"Tempo de permanência deve ser levado em consideração também a questão do ciclo, a criação de um campo de ""data_primeiro_ciclo"" ajudaria o cálculo"
